net,length_um
_073_,115.13
_039_,109.1
_040_,102.02
_037_,94.15
_062_,91.23
_064_,83.785
net2,74.04
_066_,71.25
_063_,69.04
clknet_2_3__leaf_clk,65.64
_065_,64.13
clknet_2_1__leaf_clk,63.76
clknet_2_2__leaf_clk,62.94
clknet_0_clk,56.46
clknet_2_0__leaf_clk,53.46
clk,43.15
rx_bit_cnt\[0\],39.93
rx_bit_cnt\[1\],39.39
rx_busy,38.48
tx_busy,38.03
rx_shift_reg\[3\],35.18
net17,30.08
rx_shift_reg\[6\],28.5
net4,27.2
tx_bit_cnt\[1\],26.52
tx_bit_cnt\[0\],23.9
net27,22.58
_015_,21.84
net43,21.28
_042_,20.92
net8,20.76
net3,20.6
rx_shift_reg\[4\],20.46
rx_shift_reg\[7\],19.72
net16,19.36
rx_shift_reg\[1\],18.92
rx_shift_reg\[5\],18.64
net15,18.6
net9,18.36
rx_shift_reg\[2\],17.78
tx_shift_reg\[5\],17.46
net55,17.44
net1,17.4
tx_shift_reg\[7\],17.18
net5,17.02
_046_,16.98
_038_,16.64
_045_,16.34
tx_shift_reg\[6\],16.2
net7,16.2
net6,16.1
net47,16.1
rx_data[4],14.92
busy,14.77
net35,13.88
net23,13.72
_077_,13.56
_070_,13.42
net39,13.32
net58,13.1
net45,13.08
tx_shift_reg\[1\],12.54
net12,12.38
net10,12.3
_052_,12.24
_056_,11.8
_011_,11.76
_059_,11.58
tx_data[0],11.58
net59,11.58
tx_shift_reg\[3\],11.38
_075_,11.26
net19,11.2
tx_data[7],11.12
Tx,10.99
_074_,10.84
rx_shift_reg\[0\],10.84
rx_data[3],10.76
tx_data[1],10.66
tx_data[6],10.66
_043_,10.44
_014_,10.36
_020_,9.905
_072_,9.9
rx_data[5],9.89
net33,9.86
_041_,9.7
net53,9.62
_047_,9.54
_013_,9.48
send,9.4
net20,9.38
net14,9.36
receive,9.27
rx_data[6],9.15
rx_data[2],8.96
_026_,8.905
net57,8.62
_034_,8.48
net11,8.44
_007_,8.34
net46,8.105
tx_shift_reg\[2\],8.1
_009_,8.04
rx_data[0],8.04
_029_,7.805
rx_data[7],7.79
net13,7.64
net42,7.64
_068_,7.6
net18,7.4
_044_,7.22
rx_bit_cnt\[2\],7.18
_030_,6.875
_076_,6.78
Rx,6.77
_058_,6.74
_022_,6.72
_002_,6.645
_021_,6.645
tx_bit_cnt\[2\],6.64
enable,6.43
_019_,6.425
_031_,6.425
net60,6.18
net31,6.06
_032_,6.04
_001_,6.025
tx_data[4],5.97
_016_,5.845
net41,5.74
net48,5.725
_071_,5.72
tx_data[5],5.63
net21,5.6
net28,5.475
_050_,5.4
_060_,5.38
_061_,5.28
_000_,5.265
rx_data[1],4.95
tx_data[2],4.95
tx_data[3],4.95
_035_,4.94
_028_,4.92
_055_,4.8
net29,4.8
net54,4.76
_018_,4.725
tx_shift_reg\[4\],4.68
_027_,4.585
net36,4.585
net44,4.555
_067_,4.46
net37,4.42
net32,4.265
net22,3.98
net26,3.965
_005_,3.925
net24,3.705
_010_,3.56
tx_shift_reg\[0\],3.56
_053_,3.54
_004_,3.515
_003_,3.465
net34,3.465
net61,3.42
net49,3.28
_025_,3.245
_008_,3.08
_006_,2.86
_012_,2.62
_051_,2.62
_057_,2.62
_069_,2.5
_048_,2.4
net30,2.375
net25,2.18
_049_,2.16
_024_,2.125
net38,2.085
_054_,2.06
_033_,2.04
_036_,1.93
net52,1.88
_023_,1.865
net56,1.7
net40,1.38
net50,1.265
net51,1.265
_017_,0.46
